date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,sunshine_duration,wind_speed_10m_max,precipitation_sum,relative_humidity_2m_mean,wind_speed_10m_mean
2022-07-17 16:00:00+00:00,26.66375,30.9575,23.407501,37657.816,6.12,34.7,88.74636,3.7311134
2022-07-18 16:00:00+00:00,28.124168,33.107502,24.157501,43200.0,9.826088,1.0000001,80.97422,5.136987
2022-07-19 16:00:00+00:00,28.313745,32.2075,24.8075,36149.965,10.086427,0.8000001,81.70605,4.943444
2022-07-20 16:00:00+00:00,27.055418,31.0575,23.2575,32321.533,9.746631,8.6,86.05723,4.987034
2022-07-21 16:00:00+00:00,28.25125,32.8075,24.2575,43200.0,11.212135,4.4,81.867325,4.3717513
2022-07-22 16:00:00+00:00,28.730417,33.5075,24.5075,43200.0,8.699793,0.2,80.01039,3.9840052
2022-07-23 16:00:00+00:00,28.67,33.607502,24.6075,43200.0,17.418196,3.6999998,78.95701,5.4085503
2022-07-24 16:00:00+00:00,27.29917,33.107502,24.4575,32400.0,8.854829,3.9,86.02596,4.121868
2022-07-25 16:00:00+00:00,26.613752,31.9575,23.7075,36012.26,9.114471,21.800003,87.60864,3.8518517
2022-07-26 16:00:00+00:00,26.432503,32.4075,23.407501,35732.723,10.948973,20.899998,87.766945,5.3219576
2022-07-27 16:00:00+00:00,26.840836,32.4575,24.2075,33604.957,16.203999,9.200001,87.41873,5.5853972
2022-07-28 16:00:00+00:00,27.272085,33.107502,24.1075,43200.0,14.471821,10.799999,84.52965,5.3748317
2022-07-29 16:00:00+00:00,26.513754,33.4075,23.2075,42262.977,19.48661,8.1,86.19073,5.218335
2022-07-30 16:00:00+00:00,26.834585,33.0575,23.5575,39394.867,18.35647,9.1,84.04492,4.408204
2022-07-31 16:00:00+00:00,25.778336,31.1075,23.7575,20799.344,11.709688,36.1,91.265625,3.2904637
2022-08-01 16:00:00+00:00,25.670004,31.6075,23.157501,32884.066,17.782688,16.9,91.14849,4.528873
2022-08-02 16:00:00+00:00,26.011671,30.4575,23.1075,23196.967,7.9526596,9.7,89.755424,4.6183124
2022-08-03 16:00:00+00:00,26.22625,30.7575,23.907501,23393.553,12.959999,24.4,90.39487,3.448616
2022-08-04 16:00:00+00:00,25.653336,29.6075,23.157501,20329.469,7.729527,21.2,91.26981,4.285187
2022-08-05 16:00:00+00:00,25.992918,31.0575,22.8575,32400.0,10.799999,15.400001,89.16763,4.6787205
2022-08-06 16:00:00+00:00,26.424164,30.9575,24.0075,30544.51,10.829958,11.8,88.30555,4.303761
2022-08-07 16:00:00+00:00,25.847084,27.6075,23.7575,2313.7134,9.19939,5.999999,90.486336,5.4622426
2022-08-08 16:00:00+00:00,26.357504,31.157501,23.8075,24758.191,10.08,15.000002,89.267395,4.836387
2022-08-09 16:00:00+00:00,26.980417,32.607502,24.0575,29265.928,8.287822,8.8,85.934746,4.3114595
2022-08-10 16:00:00+00:00,25.717918,30.907501,22.8575,26721.639,14.48972,2.4,89.02572,4.8771567
2022-08-11 16:00:00+00:00,26.299166,31.6075,23.3075,32199.715,7.7043357,42.0,88.07259,4.0170045
2022-08-12 16:00:00+00:00,25.884583,30.8075,23.2575,36000.0,9.449572,26.799997,89.41529,4.404147
2022-08-13 16:00:00+00:00,26.024164,31.157501,23.7075,24508.955,9.826088,17.000002,88.79227,4.5332847
2022-08-14 16:00:00+00:00,26.11167,30.9575,23.5075,21731.746,7.729527,8.4,91.25759,3.6601279
2022-08-15 16:00:00+00:00,26.390833,31.9575,23.5575,34643.246,10.495713,30.600002,89.336914,4.680775
2022-08-16 16:00:00+00:00,26.263748,30.9575,23.8575,23145.111,7.754637,22.0,89.344215,3.6390905
2022-08-17 16:00:00+00:00,26.08042,31.157501,23.5575,12918.819,12.682018,8.9,89.92019,5.4686933
2022-08-18 16:00:00+00:00,26.603338,30.8575,24.0075,16990.443,8.161764,9.3,89.077065,4.1110735
2022-08-19 16:00:00+00:00,26.751253,32.6575,23.657501,39600.0,16.575644,22.800001,86.626526,3.894169
2022-08-20 16:00:00+00:00,26.186666,31.0075,23.157501,36000.0,9.957108,4.3999996,87.27853,4.750019
2022-08-21 16:00:00+00:00,25.876251,29.0575,23.8575,23040.697,28.829233,20.3,88.6404,15.993156
2022-08-22 16:00:00+00:00,25.390831,28.7075,23.157501,0.0,32.686733,40.199997,87.166374,23.522875
2022-08-23 16:00:00+00:00,26.613752,29.4575,23.3075,10965.194,23.749088,5.2999997,81.44779,15.652518
2022-08-24 16:00:00+00:00,27.47,32.607502,23.6075,39898.688,8.707238,10.0,82.09952,4.5394187
2022-08-25 16:00:00+00:00,26.415834,32.0575,22.8075,35395.574,14.512064,10.199999,86.06414,6.099666
2022-08-26 16:00:00+00:00,27.14292,32.0575,23.8575,42553.465,11.659777,5.2,85.802925,4.781581
2022-08-27 16:00:00+00:00,26.888748,32.4575,23.7575,36207.453,11.592894,17.7,87.48428,4.3962045
2022-08-28 16:00:00+00:00,26.440832,31.407501,23.2075,32384.879,9.565437,10.7,88.25507,4.437415
2022-08-29 16:00:00+00:00,26.336668,31.2075,23.4575,26941.201,6.989936,10.500001,89.755104,3.9604118
2022-08-30 16:00:00+00:00,26.749168,32.0075,24.0575,35951.887,8.913181,7.999999,86.95159,3.8263738
2022-08-31 16:00:00+00:00,26.794998,32.2075,23.2075,35358.03,20.188908,4.2,87.02903,5.0937696
2022-09-01 16:00:00+00:00,27.176249,30.4575,24.7575,1380.4858,11.013882,0.2,84.413826,5.0110145
2022-09-02 16:00:00+00:00,27.742914,33.4075,25.5575,8550.667,21.734581,1.0,77.59284,12.741185
2022-09-03 16:00:00+00:00,28.536673,34.107502,24.8075,37405.69,18.792551,0.0,77.65746,10.699092
2022-09-04 16:00:00+00:00,28.184584,33.8075,24.4575,36556.332,10.163227,0.1,79.143005,5.4037285
2022-09-05 16:00:00+00:00,27.60125,32.2575,24.2575,37075.83,10.009036,6.5,83.810905,3.7313578
2022-09-06 16:00:00+00:00,27.588755,32.607502,24.0075,41811.61,12.303366,7.3,84.466606,4.3576574
2022-09-07 16:00:00+00:00,27.09083,32.8075,23.4575,40504.96,15.629972,9.1,84.59055,5.918573
2022-09-08 16:00:00+00:00,27.203337,32.0575,23.657501,41872.27,12.261158,2.5,82.79621,5.7625318
2022-09-09 16:00:00+00:00,26.292921,31.4575,23.657501,35903.652,10.799999,10.799999,86.87372,3.5374901
2022-09-10 16:00:00+00:00,26.490835,32.2075,23.3075,39497.793,9.826088,4.2999997,85.43973,4.1260467
2022-09-11 16:00:00+00:00,27.61583,31.7575,23.657501,40551.965,11.440978,0.0,80.37443,4.8986983
2022-09-12 16:00:00+00:00,27.676249,33.107502,22.3075,41651.56,7.491114,0.0,76.07183,4.3117023
2022-09-13 16:00:00+00:00,28.155416,32.7075,23.8075,41596.035,14.291592,0.2,75.55472,6.376964
2022-09-14 16:00:00+00:00,28.357498,33.4575,23.4575,41540.445,11.525623,0.0,74.19281,4.9686055
2022-09-15 16:00:00+00:00,27.190832,32.9575,23.9575,39842.41,17.786331,16.3,81.7429,4.8662686
2022-09-16 16:00:00+00:00,26.17417,31.6075,23.407501,34661.58,10.086427,21.1,87.298035,3.881091
2022-09-17 16:00:00+00:00,26.595001,32.2075,23.657501,38028.23,9.983106,26.0,87.159515,3.9596548
2022-09-18 16:00:00+00:00,26.080414,31.9575,23.407501,31697.453,7.7043357,30.5,89.44277,3.3225276
