date_cleaned,academic_period,normalized_symptoms,course_mapped,age,gender,visit_count,respiratory_count,digestive_count,pain_count,fever_count,other_count,student_visits,staff_visits,other_visits,date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,sunshine_duration,wind_speed_10m_max,precipitation_sum,relative_humidity_2m_mean,wind_speed_10m_mean,pm10_mean,pm10_max,pm10_min,pm2_5_mean,pm2_5_max,pm2_5_min,carbon_monoxide_mean,carbon_monoxide_max,carbon_monoxide_min,nitrogen_dioxide_mean,nitrogen_dioxide_max,nitrogen_dioxide_min,ozone_mean,ozone_max,ozone_min,aqi_category,high_pm2_5,high_pm10,high_ozone,respiratory_risk_score,pm10_mean_7day,pm2_5_mean_7day,ozone_mean_7day,temperature_range,heat_humidity_index,is_rainy_day,is_hot_day,is_humid_day,is_high_pollution,is_very_high_pollution
2022-10-19,prelim,"stomach ache,stomach ache,uti,asthma","['bat', 'bsit', 'bstm', 'bsba']",18.75,"['Male', 'Male', 'Female', 'Male']",4,1,1,0,0,2,4,0,0,,,,,,,,,,10.8,14.6,8.1,7.39,9.9,5.6,176.54,200.0,164.0,1.64,3.55,0.25,58.17,79.0,45.0,good,False,False,False,0,11.73,7.98,46.71,,,False,False,False,False,False
2022-10-20,prelim,"dizziness,dysmenorrhea,dizziness","['bshm', 'bsit']",18.0,"['Female', 'Female']",2,0,0,1,0,2,2,0,0,,,,,,,,,,10.07,14.3,5.6,6.97,10.0,3.9,153.08,177.0,132.0,2.25,4.45,0.8,43.0,50.0,33.0,good,False,False,False,0,13.16,8.97,44.61,,,False,False,False,False,False
2022-10-22,prelim,"cough,dizziness,fever","['beed', 'bscrim', 'bapos']",18.666666666666668,"['Female', 'Female', 'Female']",3,1,0,0,1,1,3,0,0,,,,,,,,,,14.1,22.1,11.0,9.8,15.3,7.6,169.83,228.0,131.0,3.72,9.95,0.1,33.04,55.0,18.0,good,False,False,False,0,12.03,8.19,41.31,,,False,False,False,False,False
2022-10-24,prelim,"pimple,dizziness,epigastric pain,dizziness,dysmenorrhea","['beed', 'beed', 'bscrim', 'bsentrep']",19.25,"['Female', 'Male', 'Female', 'Female']",4,0,1,1,0,3,4,0,0,,,,,,,,,,11.25,20.1,5.0,7.79,14.0,3.5,103.79,128.0,85.0,1.86,3.3,0.3,28.17,39.0,20.0,good,False,False,False,0,14.93,9.49,44.69,,,False,False,False,False,False
2022-10-25,prelim,"dizziness,cough,dizziness,headache,lbm","['bsit', 'bslm', 'bat', 'bslm']",20.5,"['Female', 'Female', 'Female', 'Male']",4,1,1,1,0,2,4,0,0,,,,,,,,,,10.52,24.6,4.2,6.36,13.3,2.9,135.29,187.0,82.0,1.41,2.25,0.55,50.12,75.0,22.0,good,False,False,False,0,14.52,9.17,43.65,,,False,False,False,False,False
2022-10-26,prelim,"headache,dysmenorrhea,dizziness,dizziness,hyperventilation,shortness of breath,fever","['bscrim', 'bsais', 'bsentrep', 'bse', 'bse', 'bse']",18.25,"['Female', 'Female', 'Female', 'Female', 'Female', 'Male']",6,0,0,2,1,4,6,0,0,,,,,,,,,,20.42,26.9,15.3,11.55,14.4,9.0,154.83,186.0,131.0,1.14,2.3,0.25,63.79,76.0,54.0,good,False,False,False,0,13.09,8.17,43.49,,,False,False,False,False,False
2022-10-27,prelim,"cold,cough,vomiting,dysmenorrhea,lbm,headache,fever,headache,dysmenorrhea","['bstm', 'staff', 'staff', 'staff', 'baels', 'staff', 'bsentrep']",25.0,"['Male', 'Female', 'Female', 'Female', 'Female', 'Male', 'Female']",7,2,2,2,1,2,3,4,0,,,,,,,,,,20.73,28.1,10.3,11.91,15.4,6.1,139.33,147.0,130.0,1.11,2.2,0.2,61.0,78.0,52.0,good,False,False,False,0,11.51,7.04,45.2,,,False,False,False,False,False
2022-11-07,midterm,"dysmenorrhea,headache,dysmenorrhea,chest pain,lbm,fever,hyperventilation,lbm,cold,allergy,cold,migraine,headache,cold,allergy,allergy,cold,cough,dizziness,cold,cold","['bapos', 'staff', 'bshm', 'bsais', 'bscs', 'bse', 'staff', 'staff', 'bsentrep', 'bsentrep', 'bslm', 'bslm', 'bshm', 'bscrim', 'baels', 'staff', 'bsma', 'bscrim', 'bscrim']",20.642857142857142,"['Female', 'Male', 'Female', 'Female', 'Female', 'Female', 'Male', 'Male', 'Female', 'Male', 'Female', 'Male', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female']",19,2,1,3,1,14,15,4,0,,,,,,,,,,10.09,15.3,7.3,6.82,10.3,4.9,120.12,140.0,101.0,1.71,3.55,0.4,37.71,50.0,31.0,good,False,False,False,0,12.26,8.3,38.57,,,False,False,False,False,False
2022-11-08,midterm,"malaise,abrasion,cold,abrasion,clammy skin,hyperventilation,cold,headache,headache,runny nose,runny nose,headache","['bse', 'bsentrep', 'bsit', 'bscs', 'bsma', 'bscrim', 'bse', 'bse', 'beed', 'staff', 'staff']",21.181818181818183,"['Male', 'Female', 'Male', 'Male', 'Female', 'Male', 'Female', 'Female', 'Female', 'Female', 'Female']",11,2,0,1,1,8,9,2,0,,,,,,,,,,9.86,16.2,6.7,6.8,11.1,4.7,139.62,190.0,125.0,2.13,7.1,0.4,42.75,58.0,31.0,good,False,False,False,0,12.36,8.35,35.07,,,False,False,False,False,False
2022-11-09,midterm,"uti,dizziness,menstrual cramps,stiff neck,cold,cough,cold","['bsit', 'bsit', 'bstm', 'bscrim', 'bstm', 'bstm']",19.833333333333332,"['Female', 'Female', 'Female', 'Female', 'Female', 'Female']",6,2,0,1,0,4,6,0,0,,,,,,,,,,16.37,23.2,11.0,11.05,15.8,7.2,148.54,176.0,109.0,2.8,6.35,0.0,39.62,59.0,28.0,good,False,False,False,0,12.53,8.45,34.5,,,False,False,False,False,False
2022-11-10,midterm,"cough,stomach ache,headache,stitches,abrasion,cold,lbm,dizziness","['baels', 'bstm', 'bat', 'bshm', 'bscs', 'bscs', 'bslm', 'bsitautotech']",19.625,"['Male', 'Female', 'Female', 'Male', 'Male', 'Female', 'Female', 'Male']",8,2,2,1,0,3,8,0,0,,,,,,,,,,14.47,21.8,9.7,9.69,15.0,6.3,133.96,173.0,94.0,2.59,5.15,0.2,29.79,45.0,18.0,good,False,False,False,0,12.51,8.42,34.29,,,False,False,False,False,False
2022-11-12,midterm,dizziness,['bse'],18.0,['Female'],1,0,0,0,0,1,1,0,0,,,,,,,,,,12.37,18.4,6.5,8.3,12.5,4.3,107.29,162.0,72.0,2.89,7.55,0.35,30.71,42.0,24.0,good,False,False,False,0,12.52,8.38,33.33,,,False,False,False,False,False
2022-11-14,midterm,"hyperventilation,itchy throat,epigastric pain,hyperacidity,lbm,infection,fever","['bslm', 'bsba', 'bslm', 'bapos', 'bapos', 'bsit', 'bscrim']",19.714285714285715,"['Female', 'Female', 'Male', 'Male', 'Female', 'Female', 'Female']",7,1,3,0,2,1,7,0,0,,,,,,,,,,9.77,17.9,5.8,6.48,11.9,4.0,107.88,150.0,90.0,1.94,6.3,0.25,35.88,48.0,28.0,good,False,False,False,0,12.77,8.4,34.96,,,False,False,False,False,False
2022-11-15,midterm,"headache,cold,fever,dysmenorrhea,allergy","['bapos', 'bscrim', 'bapos', 'bshm']",18.0,"['Female', 'Female', 'Female', 'Male']",4,1,0,2,1,1,4,0,0,,,,,,,,,,10.23,14.9,6.5,6.8,10.1,4.3,109.58,172.0,88.0,2.16,8.5,0.4,37.88,48.0,31.0,good,False,False,False,0,12.9,8.48,36.2,,,False,False,False,False,False
2022-11-16,midterm,"cough,cough,allergy,fever","['bsba', 'bsit', 'beed', 'bapos']",19.25,"['Female', 'Male', 'Female', 'Male']",4,1,0,0,1,2,4,0,0,,,,,,,,,,13.07,22.8,8.1,8.33,14.8,5.1,122.96,196.0,94.0,2.75,9.2,0.15,40.79,53.0,28.0,good,False,False,False,0,13.63,8.9,37.3,,,False,False,False,False,False
2022-11-17,midterm,"vomiting,cold,dysmenorrhea,asthma,stomach ache,asthma,cold,cough","['bslm', 'bslm', 'beed', 'bsba', 'bsba']",19.2,"['Female', 'Male', 'Female', 'Female', 'Male']",5,3,2,1,0,2,5,0,0,,,,,,,,,,19.53,27.6,12.3,12.57,17.9,8.2,149.67,192.0,119.0,3.16,7.15,0.4,40.0,59.0,28.0,good,False,False,False,0,13.19,8.62,38.08,,,False,False,False,False,False
2022-11-21,midterm,"lbm,epigastric pain,headache,epigastric pain,dysmenorrhea","['bsba', 'bsba', 'bsma', 'bsit', 'bscrim']",18.5,"['Female', 'Female', 'Male', 'Male', 'Female']",5,0,2,2,0,1,5,0,0,,,,,,,,,,12.78,18.7,9.2,8.62,12.9,6.1,111.75,150.0,85.0,2.57,7.1,0.45,34.42,41.0,27.0,good,False,False,False,0,13.19,8.83,34.97,,,False,False,False,False,False
2022-11-22,midterm,"malaise,cold,cough,fever,cold,fever,cold,cough,cold,fever,cold,cough,menstrual cramps,hyperacidity,headache,headache,asthma,dizziness,dysmenorrhea,infection,fever","['bsentrep', 'bshm', 'baels', 'bstm', 'bsba', 'bsma', 'beed', 'bsma', 'bstm', 'bsit', 'bslm', 'bse', 'bsais', 'bsba', 'bsba']",18.923076923076923,"['Female', 'Female', 'Male', 'Female', 'Male', 'Female', 'Female', 'Female', 'Female', 'Male', 'Male', 'Female', 'Female', 'Female', 'Male']",15,3,1,3,3,11,15,0,0,,,,,,,,,,14.9,21.7,9.5,10.03,14.7,6.3,126.62,205.0,94.0,3.31,11.5,0.25,34.38,47.0,22.0,good,False,False,False,0,13.57,9.11,33.15,,,False,False,False,False,False
