year_week,week_start_date,academic_period,symptoms_combined,courses_list,avg_age,genders_list,week_start,week_end,visit_count,respiratory_count,digestive_count,pain_count,fever_count,other_count,student_visits,staff_visits,other_visits,temperature_2m_mean,temperature_2m_max,temperature_2m_min,relative_humidity_2m_mean,precipitation_sum,wind_speed_10m_mean,sunshine_duration,pm2_5_mean,pm10_mean,ozone_mean,carbon_monoxide_mean,nitrogen_dioxide_mean,respiratory_risk_score,aqi_category,temperature_range,heat_humidity_index,is_rainy_week,is_hot_week,is_humid_week,is_high_pollution,is_very_high_pollution,weather_stress_score
2023-W34,2023-08-21,prelim,,[],20.0,[],2023-08-21,2023-08-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.57,33.61,23.51,87.73,102.8,7.78,187957.73,10.16,14.79,46.11,179.53,3.04,0.0,good,10.099999999999998,23.309861,True,True,True,False,False,3
2023-W35,2023-08-28,prelim,,[],20.0,[],2023-08-28,2023-08-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.1,33.26,23.71,87.81,55.0,5.91,132080.96,6.91,10.07,38.53,183.66,3.66,0.0,good,9.549999999999997,23.79651,True,True,True,False,False,3
2023-W36,2023-09-04,prelim,,[],20.0,[],2023-09-04,2023-09-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.96,33.01,22.76,88.8,112.4,3.69,233781.42,9.26,13.53,45.55,201.77,3.19,0.0,good,10.249999999999996,23.94048,True,True,True,False,False,3
2023-W37,2023-09-11,prelim,,[],20.0,[],2023-09-11,2023-09-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.59,32.61,22.96,87.77,73.4,4.13,234642.16,10.79,15.8,45.02,196.94,3.24,0.0,good,9.649999999999999,23.338043,True,True,True,False,False,3
2023-W38,2023-09-18,prelim,,[],20.0,[],2023-09-18,2023-09-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.45,33.61,22.66,89.1,104.7,4.35,227131.66,7.13,10.36,36.65,151.46,2.58,0.0,good,10.95,23.56695,True,True,True,False,False,3
2023-W39,2023-09-25,prelim,,[],20.0,[],2023-09-25,2023-09-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.5,32.61,23.06,88.63,76.2,4.47,226067.75,7.43,11.05,39.38,163.89,3.03,0.0,good,9.55,23.48695,True,True,True,False,False,3
2023-W40,2023-10-02,prelim,,[],20.0,[],2023-10-02,2023-10-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.98,32.96,22.96,85.45,76.4,4.86,160722.45,10.24,15.37,41.45,234.33,4.32,0.0,good,10.0,23.05441,True,True,True,False,False,3
2023-W41,2023-10-09,prelim,,[],20.0,[],2023-10-09,2023-10-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.98,32.51,22.86,83.82,27.9,5.9,260236.97,6.54,9.91,43.88,179.21,2.87,0.0,good,9.649999999999999,22.614635999999997,True,True,True,False,False,3
2023-W42,2023-10-16,prelim,,[],20.0,[],2023-10-16,2023-10-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.95,32.01,22.71,86.58,99.0,5.29,204481.58,7.44,11.63,56.14,219.97,2.77,0.0,good,9.299999999999997,22.46751,True,True,True,False,False,3
2023-W43,2023-10-23,prelim,,[],20.0,[],2023-10-23,2023-10-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.25,31.86,22.56,84.53,37.4,5.14,251126.71,5.81,8.8,40.17,162.41,2.63,0.0,good,9.3,22.189125,True,False,True,False,False,2
