dow,visits_lag1,visits_lag7,visits_rollmean7,resp_lag1,resp_rollmean7,digest_lag1,digest_rollmean7,temp,humidity,rainfall,pm2_5,visit_count
1,0.0,4.0,1.8571428571428572,0.0,0.8571428571428571,0.0,0.2857142857142857,26.38875,83.30581,1.5,8.72,0.0
2,0.0,6.0,1.0,0.0,0.42857142857142855,0.0,0.2857142857142857,25.784586,87.76702,33.9,14.6,0.0
3,0.0,7.0,0.0,0.0,0.0,0.0,0.0,25.251251,89.53898,15.1,15.5,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.101252,89.82421,2.6,7.41,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.28042,89.09214,12.099999,7.65,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.830416,90.975075,23.5,8.7,0.0
0,0.0,0.0,2.7142857142857144,0.0,0.5714285714285714,0.0,0.14285714285714285,24.376251,92.243164,3.0000002,6.82,19.0
1,19.0,0.0,4.285714285714286,4.0,1.0,1.0,0.14285714285714285,25.12208,89.1889,2.7,6.8,11.0
2,11.0,0.0,5.142857142857143,3.0,1.2857142857142858,0.0,0.14285714285714285,25.542917,88.33239,10.3,11.05,6.0
3,6.0,0.0,6.285714285714286,2.0,1.5714285714285714,0.0,0.42857142857142855,25.792915,88.87656,2.2,9.69,8.0
4,8.0,0.0,6.285714285714286,2.0,1.5714285714285714,2.0,0.42857142857142855,25.847082,89.92689,4.1000004,7.76,0.0
5,0.0,0.0,6.428571428571429,0.0,1.5714285714285714,0.0,0.42857142857142855,26.332504,87.07556,3.3000002,8.3,1.0
6,1.0,0.0,6.428571428571429,0.0,1.5714285714285714,0.0,0.42857142857142855,26.051249,84.708374,2.6000001,8.55,0.0
0,0.0,19.0,4.714285714285714,0.0,1.4285714285714286,0.0,0.7142857142857143,25.759584,87.03689,5.6,6.48,7.0
1,7.0,11.0,3.7142857142857144,3.0,1.2857142857142858,3.0,0.7142857142857143,26.255419,81.52691,0.9000001,6.8,4.0
2,4.0,6.0,3.4285714285714284,2.0,1.2857142857142858,0.0,0.7142857142857143,24.590834,90.876526,8.2,8.33,4.0
3,4.0,8.0,3.0,2.0,1.4285714285714286,0.0,0.7142857142857143,25.236666,87.94998,0.6,12.57,5.0
4,5.0,0.0,3.0,3.0,1.4285714285714286,2.0,0.7142857142857143,24.90125,89.97769,18.2,8.3,0.0
5,0.0,1.0,2.857142857142857,0.0,1.4285714285714286,0.0,0.7142857142857143,24.224167,94.357414,9.400001,11.3,0.0
6,0.0,0.0,2.857142857142857,0.0,1.4285714285714286,0.0,0.7142857142857143,23.890837,96.28863,14.200001,6.57,0.0
0,0.0,7.0,2.5714285714285716,0.0,1.0,0.0,0.5714285714285714,26.022087,85.448364,0.70000005,8.62,5.0
1,5.0,4.0,4.142857142857143,0.0,1.2857142857142858,2.0,0.7142857142857143,25.515833,89.893394,3.8,10.03,15.0
2,15.0,4.0,3.5714285714285716,4.0,1.0,1.0,0.7142857142857143,26.917913,83.795944,0.2,8.62,0.0
3,0.0,5.0,3.2857142857142856,0.0,0.8571428571428571,0.0,0.42857142857142855,26.665833,80.7124,0.1,8.35,3.0
4,3.0,0.0,3.2857142857142856,2.0,0.8571428571428571,0.0,0.42857142857142855,25.747086,73.0917,0.0,10.3,0.0
5,0.0,0.0,3.2857142857142856,0.0,0.8571428571428571,0.0,0.42857142857142855,25.87625,78.52967,0.0,9.83,0.0
6,0.0,0.0,3.2857142857142856,0.0,0.8571428571428571,0.0,0.42857142857142855,26.213747,78.359505,0.0,9.93,0.0
0,0.0,5.0,2.857142857142857,0.0,0.8571428571428571,0.0,0.2857142857142857,26.503332,85.336815,4.6,9.07,2.0
1,2.0,15.0,1.0,0.0,0.2857142857142857,1.0,0.14285714285714285,25.417917,90.101105,13.900002,12.26,2.0
2,2.0,0.0,1.0,0.0,0.2857142857142857,0.0,0.14285714285714285,25.636667,85.2952,2.0,7.48,0.0
3,0.0,3.0,1.0,0.0,0.0,0.0,0.2857142857142857,26.280418,80.992775,3.3000002,6.34,3.0
4,3.0,0.0,1.0,0.0,0.0,1.0,0.2857142857142857,26.242918,81.51595,1.8000002,7.45,0.0
5,0.0,0.0,1.5714285714285714,0.0,0.0,0.0,0.2857142857142857,24.917917,87.565765,6.4,8.75,4.0
6,4.0,0.0,1.5714285714285714,0.0,0.0,0.0,0.2857142857142857,24.617918,90.58492,12.5,9.92,0.0
0,0.0,2.0,1.2857142857142858,0.0,0.0,0.0,0.14285714285714285,23.853334,93.820595,38.799995,6.89,0.0
1,0.0,2.0,1.2857142857142858,0.0,0.14285714285714285,0.0,0.14285714285714285,24.705416,89.19445,9.0,5.01,2.0
2,2.0,0.0,1.7142857142857142,1.0,0.42857142857142855,0.0,0.14285714285714285,24.57208,89.79157,8.900002,4.89,3.0
3,3.0,3.0,1.2857142857142858,2.0,0.42857142857142855,0.0,0.0,25.463753,84.78263,1.4000001,4.12,0.0
4,0.0,0.0,1.2857142857142858,0.0,0.42857142857142855,0.0,0.0,25.17417,78.27085,1.8,5.19,0.0
5,0.0,4.0,0.7142857142857143,0.0,0.42857142857142855,0.0,0.0,25.39292,76.31122,0.0,7.17,0.0
6,0.0,0.0,0.7142857142857143,0.0,0.42857142857142855,0.0,0.0,24.915834,81.77808,0.3,8.93,0.0
0,0.0,0.0,0.7142857142857143,0.0,0.42857142857142855,0.0,0.0,23.95125,93.26331,11.5,8.66,0.0
1,0.0,2.0,0.42857142857142855,0.0,0.2857142857142857,0.0,0.0,24.397085,90.552,3.8999999,6.6,0.0
2,0.0,3.0,0.42857142857142855,0.0,0.14285714285714285,0.0,0.14285714285714285,24.217924,91.73413,14.1,1.01,3.0
3,3.0,0.0,0.42857142857142855,1.0,0.14285714285714285,1.0,0.14285714285714285,24.472086,91.67062,6.2,0.92,0.0
4,0.0,0.0,0.42857142857142855,0.0,0.14285714285714285,0.0,0.14285714285714285,24.201248,91.762726,17.1,3.92,0.0
5,0.0,0.0,0.42857142857142855,0.0,0.14285714285714285,0.0,0.14285714285714285,22.559586,84.216576,5.3,8.86,0.0
6,0.0,0.0,0.42857142857142855,0.0,0.14285714285714285,0.0,0.14285714285714285,22.759584,79.03936,1.6000001,5.18,0.0
0,0.0,0.0,0.42857142857142855,0.0,0.14285714285714285,0.0,0.14285714285714285,22.707499,87.241234,21.4,6.44,0.0
1,0.0,0.0,0.42857142857142855,0.0,0.14285714285714285,0.0,0.14285714285714285,23.084585,87.958046,6.9999995,6.21,0.0
2,0.0,3.0,0.0,0.0,0.0,0.0,0.0,22.617918,82.1253,9.500001,5.46,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.380415,78.90542,2.4,10.58,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.7575,72.53115,0.3,13.22,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.126253,78.657745,4.5,12.95,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.7075,80.67405,2.3,14.04,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.032501,82.494804,2.9,12.1,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.195,90.80484,7.0,10.57,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.728333,93.3797,19.4,7.89,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.832499,85.52466,2.2,9.75,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.71375,84.98785,2.2,4.03,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.58042,93.12485,38.100002,5.35,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.865835,92.3822,17.300001,5.63,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.115831,92.79647,15.500001,4.92,0.0
1,0.0,0.0,0.7142857142857143,0.0,0.5714285714285714,0.0,0.0,23.240831,86.91386,9.700001,4.46,5.0
2,5.0,0.0,1.4285714285714286,4.0,1.0,0.0,0.14285714285714285,22.409578,94.79351,32.399998,6.41,5.0
3,5.0,0.0,1.4285714285714286,3.0,1.0,1.0,0.14285714285714285,22.855417,94.123375,47.3,8.39,0.0
4,0.0,0.0,1.4285714285714286,0.0,1.0,0.0,0.14285714285714285,23.484587,79.94968,0.1,7.81,0.0
5,0.0,0.0,1.4285714285714286,0.0,1.0,0.0,0.14285714285714285,23.447083,76.47646,0.4,9.0,0.0
6,0.0,0.0,1.4285714285714286,0.0,1.0,0.0,0.14285714285714285,22.83667,78.307846,0.0,10.14,0.0
0,0.0,0.0,1.4285714285714286,0.0,1.0,0.0,0.14285714285714285,23.657501,76.64081,0.1,11.72,0.0
1,0.0,5.0,0.7142857142857143,0.0,0.42857142857142855,0.0,0.14285714285714285,23.851252,80.43751,3.0,16.88,0.0
2,0.0,5.0,0.0,0.0,0.0,0.0,0.0,23.911667,79.5884,0.1,16.92,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.574167,85.98521,0.70000005,13.28,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.392914,84.394264,0.0,15.72,0.0
5,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,24.186668,90.37268,22.699999,14.95,1.0
6,1.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,24.170004,86.52133,9.3,13.51,0.0
0,0.0,0.0,0.7142857142857143,0.0,0.14285714285714285,0.0,0.14285714285714285,23.06167,90.682526,10.9,5.9,4.0
1,4.0,0.0,1.4285714285714286,1.0,0.42857142857142855,1.0,0.2857142857142857,22.80542,89.8415,10.3,8.33,5.0
2,5.0,0.0,1.4285714285714286,2.0,0.42857142857142855,1.0,0.2857142857142857,23.301249,82.591866,2.1,7.34,0.0
